Edge 	Weight
5834 - 1 	240 
5142 - 2 	596 
243 - 3 	1260 
5848 - 4 	4337 
9489 - 5 	723 
7280 - 6 	1234 
2611 - 7 	1167 
6084 - 8 	3514 
4675 - 9 	1166 
6488 - 10 	1232 
2578 - 11 	36 
8951 - 12 	931 
1304 - 13 	1059 
515 - 14 	776 
2980 - 15 	1155 
5399 - 16 	15 
1762 - 17 	1701 
4608 - 18 	1066 
9302 - 19 	39 
5750 - 20 	2361 
6043 - 21 	306 
9909 - 22 	2501 
507 - 23 	699 
5 - 24 	1146 
4523 - 25 	1687 
6696 - 26 	2157 
155 - 27 	1083 
9486 - 28 	2424 
7150 - 29 	1522 
3798 - 30 	530 
7624 - 31 	331 
1333 - 32 	788 
7098 - 33 	722 
9635 - 34 	740 
7559 - 35 	3042 
905 - 36 	322 
4554 - 37 	3513 
1879 - 38 	1397 
8433 - 39 	1038 
9756 - 40 	1665 
1248 - 41 	995 
1365 - 42 	2101 
1120 - 43 	392 
1233 - 44 	2099 
7537 - 45 	478 
1220 - 46 	1781 
959 - 47 	609 
9014 - 48 	2574 
4452 - 49 	1333 
818 - 50 	1007 
4147 - 51 	1821 
162 - 52 	268 
2670 - 53 	1996 
8370 - 54 	1433 
107 - 55 	299 
310 - 56 	974 
338 - 57 	1074 
922 - 58 	3135 
9519 - 59 	871 
1579 - 60 	822 
8810 - 61 	202 
9625 - 62 	25 
5074 - 63 	433 
2257 - 64 	2619 
6243 - 65 	2686 
4780 - 66 	1328 
5014 - 67 	1290 
7327 - 68 	330 
7457 - 69 	1002 
2017 - 70 	37 
6061 - 71 	812 
8579 - 72 	907 
625 - 73 	624 
3370 - 74 	1015 
9985 - 75 	2102 
6703 - 76 	393 
9747 - 77 	1754 
4331 - 78 	597 
1254 - 79 	836 
2317 - 80 	204 
8587 - 81 	245 
8176 - 82 	937 
6137 - 83 	860 
7949 - 84 	2134 
4969 - 85 	884 
9008 - 86 	1054 
8043 - 87 	1480 
2995 - 88 	882 
5267 - 89 	589 
3979 - 90 	1186 
7836 - 91 	1012 
6227 - 92 	1645 
3458 - 93 	278 
7235 - 94 	190 
6825 - 95 	661 
7813 - 96 	212 
838 - 97 	518 
59 - 98 	1912 
8216 - 99 	1321 
9927 - 100 	3530 
1542 - 101 	1814 
7741 - 102 	1383 
5909 - 103 	2813 
7730 - 104 	78 
5437 - 105 	2336 
1076 - 106 	796 
4256 - 107 	154 
5452 - 108 	48 
2071 - 109 	1423 
8303 - 110 	690 
5718 - 111 	1200 
4660 - 112 	1784 
3229 - 113 	812 
1595 - 114 	1986 
2406 - 115 	1394 
7878 - 116 	580 
6188 - 117 	587 
175 - 118 	1514 
2423 - 119 	2282 
831 - 120 	1370 
149 - 121 	179 
8562 - 122 	612 
8425 - 123 	194 
8222 - 124 	1676 
5661 - 125 	3876 
4647 - 126 	580 
4194 - 127 	142 
1875 - 128 	1126 
6207 - 129 	2221 
2717 - 130 	437 
3567 - 131 	637 
99 - 132 	1478 
3243 - 133 	1031 
4342 - 134 	763 
3750 - 135 	69 
6853 - 136 	843 
4061 - 137 	313 
57 - 138 	1636 
9387 - 139 	2153 
2502 - 140 	486 
4847 - 141 	1842 
609 - 142 	2207 
188 - 143 	472 
399 - 144 	1142 
6998 - 145 	2281 
2494 - 146 	1126 
237 - 147 	534 
6097 - 148 	946 
2502 - 149 	1161 
6453 - 150 	71 
5235 - 151 	1033 
3934 - 152 	974 
2852 - 153 	1608 
4565 - 154 	995 
8657 - 155 	1048 
1441 - 156 	1214 
5815 - 157 	1039 
1153 - 158 	780 
4596 - 159 	1718 
7788 - 160 	1074 
2822 - 161 	662 
5579 - 162 	1143 
4395 - 163 	1182 
9417 - 164 	2534 
8384 - 165 	1986 
5626 - 166 	912 
6196 - 167 	4822 
8386 - 168 	1149 
3939 - 169 	3853 
3548 - 170 	2167 
9608 - 171 	941 
925 - 172 	470 
6453 - 173 	1210 
7789 - 174 	1488 
3990 - 175 	1003 
3638 - 176 	1499 
3178 - 177 	1418 
8343 - 178 	2439 
4661 - 179 	2766 
4347 - 180 	835 
9536 - 181 	468 
1646 - 182 	1990 
9121 - 183 	1521 
867 - 184 	803 
7170 - 185 	266 
793 - 186 	1289 
9955 - 187 	1000 
6688 - 188 	1003 
4967 - 189 	1065 
2421 - 190 	627 
8197 - 191 	538 
591 - 192 	28 
301 - 193 	1600 
1880 - 194 	912 
8654 - 195 	424 
9285 - 196 	3631 
9247 - 197 	1892 
3990 - 198 	1000 
7969 - 199 	520 
1818 - 200 	57 
5184 - 201 	2190 
6623 - 202 	1013 
880 - 203 	689 
2706 - 204 	53 
7084 - 205 	2091 
9779 - 206 	1638 
6937 - 207 	379 
9264 - 208 	47 
2809 - 209 	1195 
6365 - 210 	667 
502 - 211 	58 
6016 - 212 	1115 
2500 - 213 	2851 
1519 - 214 	817 
733 - 215 	250 
851 - 216 	446 
4900 - 217 	1770 
6420 - 218 	1951 
1114 - 219 	758 
6654 - 220 	171 
8762 - 221 	3186 
8823 - 222 	3356 
8854 - 223 	2741 
5407 - 224 	633 
9209 - 225 	1190 
9036 - 226 	1955 
6835 - 227 	2167 
5456 - 228 	315 
5953 - 229 	6586 
7440 - 230 	960 
2441 - 231 	697 
5331 - 232 	3420 
4097 - 233 	86 
6435 - 234 	854 
8655 - 235 	1939 
7650 - 236 	1622 
8517 - 237 	602 
694 - 238 	756 
7766 - 239 	1518 
2324 - 240 	959 
3181 - 241 	186 
4244 - 242 	847 
9092 - 243 	624 
5611 - 244 	1204 
8334 - 245 	670 
589 - 246 	1003 
4001 - 247 	1967 
5818 - 248 	1159 
7944 - 249 	312 
2994 - 250 	732 
5284 - 251 	682 
4435 - 252 	4214 
1454 - 253 	1025 
2262 - 254 	3049 
2067 - 255 	225 
6176 - 256 	579 
3830 - 257 	293 
6528 - 258 	3794 
2741 - 259 	193 
8054 - 260 	1847 
3348 - 261 	1187 
4851 - 262 	1097 
7403 - 263 	1311 
4206 - 264 	668 
8257 - 265 	1252 
7284 - 266 	689 
2426 - 267 	609 
8062 - 268 	605 
5905 - 269 	2189 
3053 - 270 	648 
7452 - 271 	1203 
1482 - 272 	1417 
3205 - 273 	1258 
4533 - 274 	263 
4811 - 275 	3870 
4477 - 276 	1013 
5459 - 277 	2035 
7357 - 278 	557 
8233 - 279 	1630 
658 - 280 	878 
14 - 281 	823 
2779 - 282 	1615 
9723 - 283 	5108 
52 - 284 	510 
6631 - 285 	259 
4964 - 286 	1692 
5788 - 287 	450 
473 - 288 	1195 
7983 - 289 	1331 
6889 - 290 	701 
7101 - 291 	108 
1662 - 292 	1268 
4550 - 293 	160 
7702 - 294 	548 
2747 - 295 	289 
5974 - 296 	638 
4944 - 297 	1521 
9913 - 298 	1156 
8015 - 299 	1150 
1035 - 300 	368 
5446 - 301 	1232 
4955 - 302 	618 
1166 - 303 	632 
3825 - 304 	493 
579 - 305 	1031 
186 - 306 	641 
8862 - 307 	1905 
3943 - 308 	1664 
9040 - 309 	1279 
599 - 310 	1012 
7123 - 311 	2617 
7248 - 312 	1219 
8152 - 313 	202 
397 - 314 	445 
4030 - 315 	672 
710 - 316 	1462 
7630 - 317 	1398 
1422 - 318 	1212 
4967 - 319 	848 
5560 - 320 	905 
496 - 321 	1132 
3700 - 322 	668 
9841 - 323 	2512 
2059 - 324 	341 
1154 - 325 	162 
3005 - 326 	594 
1164 - 327 	454 
7718 - 328 	424 
6005 - 329 	575 
1502 - 330 	277 
8116 - 331 	63 
3456 - 332 	1006 
9800 - 333 	1321 
2700 - 334 	3999 
5186 - 335 	1901 
7477 - 336 	1070 
3308 - 337 	386 
2548 - 338 	494 
1170 - 339 	1471 
7200 - 340 	1150 
6206 - 341 	2734 
2144 - 342 	754 
7483 - 343 	1173 
1063 - 344 	1300 
5979 - 345 	1003 
9847 - 346 	2343 
4487 - 347 	760 
5613 - 348 	2176 
6817 - 349 	1088 
739 - 350 	701 
5644 - 351 	2435 
9628 - 352 	133 
9445 - 353 	1075 
7306 - 354 	965 
2454 - 355 	672 
1667 - 356 	1096 
4791 - 357 	965 
5254 - 358 	1401 
4746 - 359 	257 
4554 - 360 	398 
4261 - 361 	26 
9145 - 362 	253 
7959 - 363 	2879 
2311 - 364 	3381 
5174 - 365 	1305 
7535 - 366 	697 
8886 - 367 	218 
9695 - 368 	1902 
343 - 369 	1552 
1668 - 370 	257 
8584 - 371 	924 
2743 - 372 	969 
1565 - 373 	1759 
6702 - 374 	1260 
4246 - 375 	256 
1317 - 376 	1115 
7571 - 377 	243 
8919 - 378 	1433 
6024 - 379 	373 
3791 - 380 	16 
174 - 381 	693 
904 - 382 	440 
1959 - 383 	1611 
7472 - 384 	290 
9626 - 385 	475 
8499 - 386 	1213 
2104 - 387 	1471 
8642 - 388 	304 
1577 - 389 	600 
2347 - 390 	446 
9438 - 391 	415 
5726 - 392 	2732 
9710 - 393 	1075 
4581 - 394 	1344 
4005 - 395 	403 
1470 - 396 	392 
1589 - 397 	470 
2539 - 398 	474 
2537 - 399 	209 
2051 - 400 	1195 
5013 - 401 	1757 
629 - 402 	776 
1909 - 403 	832 
2094 - 404 	114 
1987 - 405 	1341 
1377 - 406 	1114 
9750 - 407 	1431 
3019 - 408 	1273 
4995 - 409 	1348 
2260 - 410 	1241 
5611 - 411 	5555 
