Edge 	Weight
25893 - 1 	9282
49059 - 2 	850
20030 - 3 	3746
22914 - 4 	16142
36921 - 5 	2497
48670 - 6 	20212
46565 - 7 	4922
8257 - 8 	6366
48166 - 9 	2599
40972 - 10 	1659
7243 - 11 	20985
49810 - 12 	3343
38670 - 13 	15564
5084 - 14 	10362
27998 - 15 	4287
27992 - 16 	727
26340 - 17 	224
13018 - 18 	14076
26113 - 19 	3552
1725 - 20 	857
44109 - 21 	5752
48065 - 22 	11628
7458 - 23 	1001
48350 - 24 	10811
23078 - 25 	1073
7625 - 26 	10314
31739 - 27 	1535
39652 - 28 	6362
10944 - 29 	3749
20571 - 30 	2150
18416 - 31 	1616
42955 - 32 	5655
22232 - 33 	18852
4750 - 34 	2744
6828 - 35 	355
29956 - 36 	2083
35680 - 37 	5972
9434 - 38 	6303
35409 - 39 	2525
42827 - 40 	3192
14096 - 41 	1199
30615 - 42 	5065
33649 - 43 	42
35962 - 44 	6038
3165 - 45 	591
5760 - 46 	5286
11803 - 47 	1599
6182 - 48 	12416
19427 - 49 	6342
49589 - 50 	5807
49732 - 51 	19410
43516 - 52 	4960
11737 - 53 	6175
25672 - 54 	1483
38075 - 55 	1689
27631 - 56 	6269
22641 - 57 	3499
49832 - 58 	1653
10966 - 59 	5781
34855 - 60 	17918
16925 - 61 	102
5064 - 62 	449
48529 - 63 	1450
24746 - 64 	2749
30750 - 65 	5489
486 - 66 	4250
18295 - 67 	5194
26767 - 68 	2789
40800 - 69 	19261
20694 - 70 	204
16752 - 71 	7995
41879 - 72 	15456
43629 - 73 	3495
46310 - 74 	570
42665 - 75 	4905
49940 - 76 	3046
1934 - 77 	6774
11218 - 78 	6157
11479 - 79 	9309
43672 - 80 	3529
10846 - 81 	2609
4563 - 82 	4618
12371 - 83 	7031
40203 - 84 	3373
48305 - 85 	8805
31949 - 86 	7511
42610 - 87 	31
44100 - 88 	7329
12314 - 89 	9093
7602 - 90 	4093
11361 - 91 	645
17545 - 92 	98
14537 - 93 	2648
42089 - 94 	8707
29553 - 95 	2686
41543 - 96 	16591
33923 - 97 	1254
49972 - 98 	16559
21837 - 99 	1588
14551 - 100 	5192
